,base,exp,tau,type,strike,bid,ask,last_deal,th_price,sigma,underlying_price,sigma-ask,sigma-bid
344,H&H,21-05-20,7,Call,74.75,0.241,0.0,0.0,555.0,16.799,74.443,9.09090718476886,
345,H&H,21-05-20,7,Call,75.0,0.46,0.49,0.49,471.0,17.183,74.443,17.046853386686067,17.80914632525363
346,H&H,21-05-20,7,Call,75.25,0.189,0.0,0.0,400.0,17.613,74.443,11.8615314603732,
347,H&H,21-05-20,7,Call,75.5,0.339,0.377,0.362,340.0,18.084,74.443,18.16407248628264,19.228358311562932
348,H&H,21-05-20,7,Call,75.75,0.138,0.0,0.0,292.0,18.59,74.443,13.678553528296145,
349,H&H,21-05-20,7,Call,76.0,0.247,0.284,0.27,251.0,19.127,74.443,19.11379465528934,20.30124648180859
350,H&H,21-05-20,7,Call,76.25,0.076,0.0,0.0,217.0,19.691,74.443,14.004546647279136,
351,H&H,21-05-20,7,Call,76.5,0.186,0.204,0.203,190.0,20.278,74.443,20.252988976330844,20.93477446760508
352,H&H,21-05-20,7,Call,76.75,0.036,0.0,0.0,167.0,20.884,74.443,13.984298290714392,
353,H&H,21-05-20,7,Call,77.0,0.128,0.162,0.15,147.0,21.504,74.443,20.73221045016532,22.279188793197946
354,H&H,21-05-20,7,Call,77.25,0.026,0.0,0.0,131.0,22.135,74.443,15.279296978127062,
355,H&H,21-05-20,7,Call,77.5,0.097,0.125,0.128,117.0,22.774,74.443,21.78440559373843,23.316005516839034
356,H&H,21-05-20,7,Call,77.75,0.021,0.0,0.0,105.0,23.417,74.443,16.76708239194562,
357,H&H,21-05-20,7,Call,78.0,0.078,0.102,0.114,95.0,24.061,74.443,23.074370885300084,24.62268211519546
358,H&H,21-05-20,7,Call,78.25,0.011,0.0,0.0,86.0,24.704,74.443,16.99087138849597,
359,H&H,21-05-20,7,Call,78.5,0.06,0.089,0.083,78.0,25.342,74.443,24.040389264022743,26.236024539793444
360,H&H,21-05-20,7,Call,78.75,0.011,0.11,0.0,71.0,25.974,74.443,18.824827938696277,28.83420297501752
361,H&H,21-05-20,7,Call,79.0,0.061,0.071,0.064,65.0,26.597,74.443,26.365053799214284,27.216076225646646
362,H&H,21-05-20,7,Call,79.25,0.011,0.0,0.0,60.0,27.209,74.443,20.6235408241409,
363,H&H,21-05-20,7,Call,79.5,0.032,0.059,0.057,55.0,27.808,74.443,25.338972199688758,28.367291815614255
364,H&H,21-05-20,7,Call,79.75,0.001,0.0,0.0,50.0,28.394,74.443,17.16100247456405,
365,H&H,21-05-20,7,Call,80.0,0.025,0.047,0.045,46.0,28.963,74.443,26.234118791544205,29.2236044410998
366,H&H,21-05-20,7,Call,80.25,0.0,0.0,0.0,42.0,29.517,74.443,,
367,H&H,21-05-20,7,Call,80.5,0.02,0.04,0.0,38.0,30.052,74.443,27.177776285448203,30.38195767771991
368,H&H,21-05-20,7,Call,80.75,0.0,0.0,0.0,35.0,30.57,74.443,,
369,H&H,21-05-20,7,Call,81.0,0.0,0.033,0.03,32.0,31.068,74.443,,31.322736981123505
370,H&H,21-05-20,7,Call,81.25,0.0,0.0,0.0,29.0,31.547,74.443,,
371,H&H,21-05-20,7,Call,81.5,0.0,0.028,0.0,27.0,32.006,74.443,,32.359228529527975
372,H&H,21-05-20,7,Call,81.75,0.0,0.0,0.0,24.0,32.444,74.443,,
373,H&H,21-05-20,7,Call,82.0,0.01,0.022,0.0,22.0,32.863,74.443,29.65233711566974,32.97578273519289
374,H&H,21-05-20,7,Call,82.25,0.0,0.0,0.0,20.0,33.261,74.443,,
375,H&H,21-05-20,7,Call,82.5,0.0,0.02,0.0,18.0,33.64,74.443,,34.25917684988545
376,H&H,21-05-20,7,Call,82.75,0.0,0.0,0.0,16.0,33.999,74.443,,
377,H&H,21-05-20,7,Call,83.0,0.0,0.017,0.0,15.0,34.338,74.443,,35.177550492251456
378,H&H,21-05-20,7,Call,83.25,0.0,0.0,0.0,13.0,34.658,74.443,,
379,H&H,21-05-20,7,Call,83.5,0.0,0.024,0.0,12.0,34.96,74.443,,38.63279468803745
380,H&H,21-05-20,7,Call,83.75,0.0,0.0,0.0,10.0,35.244,74.443,,
381,H&H,21-05-20,7,Call,84.0,0.0,0.011,0.0,9.0,35.51,74.443,,36.412144364395516
382,H&H,21-05-20,7,Call,84.25,0.0,0.0,0.0,8.0,35.759,74.443,,
383,H&H,21-05-20,7,Call,84.5,0.001,0.034,0.0,7.0,35.992,74.443,29.86914424376711,44.18630573077426
384,H&H,21-05-20,7,Call,84.75,0.0,0.0,0.0,6.0,36.209,74.443,,
385,H&H,21-05-20,7,Call,85.0,0.002,0.015,0.016,6.0,36.412,74.443,33.06727815709108,41.040412421519115
386,H&H,21-05-20,7,Call,85.25,0.0,0.0,0.0,5.0,36.6,74.443,,
387,H&H,21-05-20,7,Call,85.5,0.0,0.022,0.0,4.0,36.774,74.443,,44.78369906017877
388,H&H,21-05-20,7,Call,85.75,0.0,0.0,0.0,4.0,36.935,74.443,,
389,H&H,21-05-20,7,Call,86.0,0.0,0.008,0.0,3.0,37.084,74.443,,41.00387693661586
390,H&H,21-05-20,7,Call,86.25,0.0,0.0,0.0,3.0,37.222,74.443,,
391,H&H,21-05-20,7,Call,86.5,0.0,0.022,0.0,2.0,37.348,74.443,,47.98636538300766
392,H&H,21-05-20,7,Call,86.75,0.0,0.0,0.0,2.0,37.465,74.443,,
393,H&H,21-05-20,7,Call,87.0,0.0,0.0,0.0,2.0,37.571,74.443,,
394,H&H,21-05-20,7,Call,87.25,0.0,0.0,0.0,1.0,37.669,74.443,,
395,H&H,21-05-20,7,Call,87.5,0.0,0.022,0.0,1.0,37.758,74.443,,51.123071540908086
396,H&H,21-05-20,7,Call,87.75,0.0,0.0,0.0,1.0,37.839,74.443,,
397,H&H,21-05-20,7,Call,88.0,0.0,0.022,0.0,1.0,37.913,74.443,,52.66800350121643
398,H&H,21-05-20,7,Call,88.25,0.0,0.0,0.0,1.0,37.979,74.443,,
399,H&H,21-05-20,7,Call,88.5,0.0,0.0,0.0,1.0,38.04,74.443,,
400,H&H,21-05-20,7,Call,88.75,0.0,0.0,0.0,1.0,38.095,74.443,,
401,H&H,21-05-20,7,Call,89.0,0.0,0.499,0.0,1.0,38.144,74.443,,98.7222614278294
402,H&H,21-05-20,7,Call,89.25,0.0,0.0,0.0,1.0,38.188,74.443,,
403,H&H,21-05-20,7,Call,89.5,0.0,0.0,0.0,1.0,38.228,74.443,,
404,H&H,21-05-20,7,Call,90.0,0.001,0.008,0.0,1.0,38.294,74.443,43.182743586795105,52.2093336069524
405,H&H,21-05-20,7,Call,90.25,0.0,0.0,0.0,1.0,38.322,74.443,,
406,H&H,21-05-20,7,Call,90.5,0.0,0.0,0.0,1.0,38.347,74.443,,
407,H&H,21-05-20,7,Call,94.75,0.0,1.499,0.0,1.0,38.476,74.443,,167.57045658404087
408,H&H,21-05-20,7,Put,59.25,0.0,0.0,0.0,1.0,49.415,74.443,,
409,H&H,21-05-20,7,Put,59.5,0.0,0.0,0.0,1.0,49.235,74.443,,
410,H&H,21-05-20,7,Put,59.75,0.0,0.0,0.0,1.0,49.036,74.443,,
411,H&H,21-05-20,7,Put,60.0,0.0,0.013,0.0,1.0,48.816,74.443,,63.15863345456728
412,H&H,21-05-20,7,Put,60.25,0.0,0.0,0.0,1.0,48.573,74.443,,
413,H&H,21-05-20,7,Put,60.5,0.0,0.0,0.0,1.0,48.306,74.443,,
414,H&H,21-05-20,7,Put,60.75,0.0,0.0,0.0,1.0,48.013,74.443,,
415,H&H,21-05-20,7,Put,61.0,0.0,0.015,0.0,2.0,47.694,74.443,,59.825067390615594
416,H&H,21-05-20,7,Put,61.25,0.0,0.0,0.0,2.0,47.346,74.443,,
417,H&H,21-05-20,7,Put,61.5,0.0,0.0,0.0,2.0,46.968,74.443,,
418,H&H,21-05-20,7,Put,61.75,0.0,0.0,0.0,2.0,46.56,74.443,,
419,H&H,21-05-20,7,Put,62.0,0.0,0.017,0.0,3.0,46.12,74.443,,56.32839394273792
420,H&H,21-05-20,7,Put,62.25,0.0,0.0,0.0,3.0,45.647,74.443,,
421,H&H,21-05-20,7,Put,62.5,0.0,0.0,0.0,3.0,45.142,74.443,,
422,H&H,21-05-20,7,Put,62.75,0.0,0.0,0.0,4.0,44.603,74.443,,
423,H&H,21-05-20,7,Put,63.0,0.0,0.071,0.004,4.0,44.031,74.443,,64.14772605327303
424,H&H,21-05-20,7,Put,63.25,0.0,0.0,0.0,4.0,43.425,74.443,,
425,H&H,21-05-20,7,Put,63.5,0.0,0.096,0.0,5.0,42.786,74.443,,64.99327024786031
426,H&H,21-05-20,7,Put,63.75,0.0,0.0,0.0,5.0,42.115,74.443,,
427,H&H,21-05-20,7,Put,64.0,0.0,0.0,0.0,5.0,41.411,74.443,,
428,H&H,21-05-20,7,Put,64.25,0.0,0.0,0.0,6.0,40.677,74.443,,
