"Date","Time","Symbol","Strike","Root","Expiration Date","Option","Qty","Open Interest","Trades Count","Option Volume","Total Trade Notional - Spot","Total Trade Premium","Total Edge","Contract Edge","Exchange Sequence Number","Price","Price Change","Theo","Theo Iv","Type","Exchange","Condition","Canceled Condition","Bid","Ask","Market","Premium","Spot Moneyness","Time Until Expiration","Trade Iv","Trade Iv Change","Trade Delta","Trade Gamma","Trade Vega","Trade Theta","Trade Rho","Underlying Bid","Underlying Ask","Market - Underlying","Underlying Trade Price","Underlying Change From Close","Underlying Change From Open","OnBidAsk","Market Condition"
"2024-06-26","10:20:05:181","AMZN",197.5,"AMZN","2024-07-05T04:00:00.000Z","AMZN(W) Jul05 197.50 C",109,"1851.00",79,397,2055905,5886,"139.35","1.28",139472754,"0.54","0.16","0.55","0.25","C","PHLX","AutoExecution","Normal Trade","0.54","0.58","0.54 x 0.58","0.54","1.05",9.256943702697754,"25.29","-0.00","0.14","0.03","0.07","-0.09","0.01","188.60","188.63","188.60 x 188.63","188.61","2.27","1.87","B","I"
"2024-06-26","10:51:25:245","AMZN",195,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 195.00 C",108,"21772.00",2924,22032,2064473,6156,"138.66","1.28",346713555,"0.57","0.43","0.58","0.31","C","PHLX","SingLegAuctNonISO","Normal Trade","0.56","0.58","0.56 x 0.58","0.57","1.02",2.235208034515381,"31.10","0.00","0.22","0.06","0.04","-0.32","0.00","191.15","191.16","191.15 x 191.16","191.15","4.81","4.41","I","I"
"2024-06-26","10:49:09:703","AMZN",197.5,"AMZN","2024-07-05T04:00:00.000Z","AMZN(W) Jul05 197.50 C",108,"1851.00",277,1378,2068307,11772,"158.58","1.47",226105841,"1.09","0.70","1.10","0.26","C","PEARL","AutoExecution","Normal Trade","1.07","1.09","1.07 x 1.09","1.09","1.03",9.23680591583252,"25.35","0.00","0.24","0.04","0.10","-0.13","0.01","191.51","191.51","191.51 x 191.51","191.51","5.17","4.77","A","I"
"2024-06-26","10:42:25:368","AMZN",200,"AMZN","2024-07-19T04:00:00.000Z","AMZN Jul19 200.00 C",108,"73714.00",1463,8247,2054322,18792,"124.14","1.15",203947812,"1.74","0.68","1.73","0.25","C","ARCA","MultLegAutoSingLeg","Normal Trade","1.71","1.74","1.71 x 1.74","1.74","1.05",23.241458892822266,"25.41","-0.00","0.25","0.03","0.15","-0.08","0.03","190.21","190.22","190.21 x 190.22","190.21","3.87","3.47","A","I"
"2024-06-26","10:44:30:407","AMZN",197.5,"AMZN","2024-07-12T04:00:00.000Z","AMZN(W) Jul12 197.50 C",107,"362.00",76,497,2039152,17976,"445.18","4.16",312599436,"1.68","0.79","1.64","0.25","C","PHLX","AutoExecution","Normal Trade","1.62","1.68","1.62 x 1.68","1.68","1.04",16.240068435668945,"25.01","-0.00","0.28","0.03","0.14","-0.10","0.02","190.57","190.58","190.57 x 190.58","190.58","4.24","3.84","A","I"
"2024-06-26","10:47:04:073","AMZN",197.5,"AMZN","2024-07-19T04:00:00.000Z","AMZN Jul19 197.50 C",107,"1205.00",193,1264,2044987,29211,"227.50","2.13",218852275,"2.73","1.26","2.75","0.26","C","NASDBX","AutoExecution","Normal Trade","2.72","2.73","2.72 x 2.73","2.73","1.03",23.23819351196289,"25.70","0.01","0.34","0.03","0.18","-0.10","0.04","191.10","191.14","191.10 x 191.14","191.09","4.75","4.35","A","I"
"2024-06-26","10:33:26:388","AMZN",190,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 190.00 C",106,"35803.00",5944,37244,2014755,19610,"193.27","1.82",266170876,"1.85","1.10","1.87","0.30","C","ISE","SingLegAuctNonISO","Normal Trade","1.85","1.89","1.85 x 1.89","1.79","1.00",2.2476389408111572,"29.45","0.01","0.52","0.09","0.06","-0.45","0.01","190.06","190.08","190.06 x 190.08","190.07","3.73","3.33","B","I"
"2024-06-26","11:04:11:226","AMZN",182.5,"AMZN","2024-07-19T04:00:00.000Z","AMZN Jul19 182.50 P",106,"846.00",114,1079,2021844,15688,"302.31","2.85",265501035,"1.48","-0.89","1.45","0.25","P","MIAX","AutoExecution","Normal Trade","1.43","1.48","1.43 x 1.48","1.48","0.96",23.226388931274414,"24.81","0.00","-0.21","0.02","0.14","-0.08","-0.02","190.73","190.75","190.73 x 190.75","190.72","4.38","3.98","A","I"
"2024-06-26","10:33:32:654","AMZN",190,"AMZN","2024-07-05T04:00:00.000Z","AMZN(W) Jul05 190.00 C",106,"17474.00",2226,8926,2014649,31800,"338.30","3.19",179294953,"3.00","1.27","3.03","0.23","C","BOX","AutoExecution","Normal Trade","3.00","3.05","3.00 x 3.05","2.95","1.00",9.24756908416748,"23.02","-0.00","0.53","0.06","0.12","-0.15","0.02","190.05","190.07","190.05 x 190.07","190.05","3.71","3.31","B","I"
"2024-06-26","10:53:31:569","AMZN",192.5,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 192.50 C",105,"18683.00",6371,33194,2002192,11130,"42.67","0.41",355008418,"1.06","0.74","1.06","0.30","C","PHLX","SingLegAuctNonISO","Normal Trade","1.04","1.07","1.04 x 1.07","1.06","1.01",2.2336809635162354,"29.82","0.01","0.36","0.08","0.06","-0.42","0.00","190.68","190.69","190.68 x 190.69","190.68","4.34","3.94","I","I"
